text,category,amount
Transaction at Spotify for 47815 rs,Entertainment,47815
Tea Break At Stall Inr29744,Food,29744
Paid for maid INR8983 upi ref 78539,Housing,8983
Transaction at Airtel for 43487 rs via gpay,Utilities,43487
Paid For Purchase Rs. 29518,Shopping,29518
Ajio Bill Is 26475... Sorry 5396.00,Shopping,5396
college Paid 45979 wait no ₹36893,Education,36893
Bus Cost 9951,Transport,9951
10004 rs paid to IKEA yesterday,Housing,10004
Bescom Spent 23595 Oh Wait It Was ₹12174,Utilities,12174
fitness center payment of ₹44646 via paytm,Entertainment,44646
Paid for vegetables Rs. 45654,Food,45654
Transaction At Cure.Fit For ₹27339,Health,27339
blinkit rs. 21872 yesterday,Food,21872
INR 19475 for furniture via gpay,Housing,19475
Paid For Restaurant 27864 Rs,Food,27864
Debit swipe Bescom 192 rs,Utilities,192
mobile 39336 instead of 25544,Utilities,39336
transaction at bank for rs. 34457 via gpay,Income,34457
Ordered from Zomato INR28588,Food,28588
BigBasket INR21542 via paytm,Food,21542
Debit swipe Myntra INR48552,Shopping,48552
"concert Calculated 2912 incorrectly, actual is 30176",Entertainment,30176
client inr33396 instead of 46211 via gpay,Income,33396
10996 Rs For Prepaid,Utilities,10996
Cashback From Credit Card Inr18524,Income,18524
Ordered from Steam ₹43025 via gpay,Entertainment,43025
Bill from Air Asia of INR12565,Transport,12565
Ordered From Zara 40249.00,Shopping,40249
Bill From Ola Of 37522 Rs,Transport,37522
30414.00 paid to Tata Sky on card,Utilities,30414
Bought Vegetables From Local Shop 26938 via gpay last night,Food,26938
INR1984 paid to NoBroker,Housing,1984
Ordered from Myntra INR32399,Shopping,32399
Restaurant Expense ₹1562,Food,1562
Went Out For Dinner With Friends Rs. 15090 today,Food,15090
ordered from airtel ₹7600,Utilities,7600
INR 36045 paid to Dominos,Food,36045
Rs. 2840 paid to BookMyShow,Entertainment,2840
Debit swipe Coursera INR31820 on card,Education,31820
breakfast payment of Rs. 24983,Food,24983
spent inr 4591 on electricity,Housing,4591
gift payment of 49864.00,Others,49864
Starbucks payment 44281.00,Food,44281
Paid 41991.00 at Pizza Hut,Food,41991
Transaction at Spotify for ₹1713 successful,Entertainment,1713
tax refund processed 9921 rs,Income,9921
NoBroker payment 45618 rs,Housing,45618
KFC 13813.00,Food,13813
bill payment of ₹31451,Utilities,31451
kfc payment 11404,Food,11404
mobile expense Rs. 29640,Utilities,29640
"prepaid ₹14197 is the amount, not 14587 on card",Utilities,14197
Bill from H&M of Rs. 39429 today,Shopping,39429
concert 39574 no make it 30486 rs,Entertainment,30486
Dth Yearly Subscription Inr 46690,Utilities,46690
Electronics Bill Is 9480.00 Not 45815,Shopping,9480
Monthly Fruits 33054 Rs,Food,33054
Ordered From Pizza Hut Rs. 2327,Food,2327
Bought Medicines For Flu ₹40883,Health,40883
Ordered From Udemy Rs. 33132 via paytm,Education,33132
shopping cost ₹6208,Shopping,6208
Just paid purchase bill 13612.00,Shopping,13612
