text,category,amount
debit swipe pvr 35349.00,Entertainment,35349.0
blinkit payment inr 49455,Food,49455.0
Debit swipe IRCTC INR 26305,Transport,26305.0
broadband expense 48376.00,Housing,48376.0
Cure.Fit Inr 7230 via paytm,Health,7230.0
Coursera Payment 366,Education,366.0
Just paid college bill ₹23113,Education,23113.0
"school 46272 is the amount, not 26540 cred",Education,46272.0
water tanker charges Rs. 13629,Utilities,13629.0
INR19279 paid to HP Petrol,Transport,19279.0
Just paid workshop bill 36949,Education,36949.0
Ordered from Pizza Hut Rs. 49311,Food,49311.0
Debit Swipe Rapido 8019 Rs,Transport,8019.0
food expense 40535,Food,40535.0
withdrawal expense ₹19659 on card,Others,19659.0
fruits expense 1609.00,Food,1609.0
Coursera Payment 6145.00,Education,6145.0
atm cost 19652.00 txn id 493432,Others,19652.0
Bill From Swiggy Of 14725,Food,14725.0
Spent 46131 on PVR on card,Entertainment,46131.0
"Dinner Calculated 19029 Incorrectly, Actual Is ₹16257",Food,16257.0
Bill from Starbucks of INR851,Food,851.0
train charges Rs. 11063 via paytm,Transport,11063.0
Spent 25124 On Dishtv,Utilities,25124.0
apparel charges INR43262,Shopping,43262.0
medicine charges 25570 rs,Health,25570.0
paid rs. 17078 at ola on card,Transport,17078.0
Monthly Snack 6222.00,Food,6222.0
Spent INR26900 on lunch on 12/05,Food,26900.0
Bill from Udemy of INR47133,Education,47133.0
₹45355 For Train today,Transport,45355.0
Paid for postpaid 30062 rs,Utilities,30062.0
Transaction at Flipkart for 28157,Shopping,28157.0
ride Not 16924 but Rs. 15772,Transport,15772.0
Rs. 42119 paid to Cult.fit,Health,42119.0
Paid Rs. 12619 at Ajio,Shopping,12619.0
Paid 18540 Rs At Dishtv txn id 750488,Utilities,18540.0
accessories charges Rs. 16586,Shopping,16586.0
Ordered from Rapido 24757,Transport,24757.0
Monthly shoes 15390 rs,Shopping,15390.0
Spent 15998.00 on Ajio successful,Shopping,15998.0
Ordered From Zara 17590.00,Shopping,17590.0
"Google Pay Calculated 12387 incorrectly, actual is INR 25975 last night",Income,25975.0
Course Bill Is 18775... Sorry Rs. 30012,Education,30012.0
Just paid salary bill Rs. 29725,Income,29725.0
gift for anniversary 8245,Shopping,8245.0
Training Charges 1407.00,Education,1407.0
Dominos Bill is 14400 not 2348,Food,14400.0
Ordered from Amazon INR 38773,Shopping,38773.0
Debit swipe Apple Store Rs. 17831,Shopping,17831.0
H&M payment 19664.00,Shopping,19664.0
Playstation Spent 46683 Oh Wait It Was Rs. 41708,Entertainment,41708.0
40555 paid to Adidas,Shopping,40555.0
subscription Typo 35607 read as 41335,Entertainment,41335.0
apparel cost INR 47887,Shopping,47887.0
Ordered from Bank ₹47447,Income,47447.0
Bill From Bescom Of Rs. 33546 last night,Utilities,33546.0
Monthly Parking Inr 20275 via paytm,Transport,20275.0
apollo pharmacy 16621 rs,Health,16621.0
Transaction at Vi for Rs. 10849,Utilities,10849.0
spent rs. 30322 on electronics via paytm,Shopping,30322.0
Asian Paints payment INR 33220 txn id 884488,Housing,33220.0
physiotherapy session INR42060,Health,42060.0
"electrician Calculated 43268 incorrectly, actual is INR 5843 last night",Housing,5843.0
ordered late night snacks Rs. 1345,Food,1345.0
Spent 35615.00 On Udemy txn id 588928 last night,Education,35615.0
cinema cost inr 13291 on 12/05,Entertainment,13291.0
INR 10626 for coffee,Food,10626.0
ordered from swiggy 12326,Food,12326.0
late night craving order ₹17912,Food,17912.0
Flipkart 28523 Rs,Shopping,28523.0
monthly event 43302,Entertainment,43302.0
49518.00 for maintenance,Housing,49518.0
book 24646 no make it INR8245 debt today,Education,8245.0
Mobile Recharge Done Rs. 26636,Utilities,26636.0
Received Payment Of Inr 4401,Income,4401.0
UPI payment to Apollo Pharmacy INR49282,Health,49282.0
37938.00 paid to Indigo,Transport,37938.0
Ordered from McDonalds 20540,Food,20540.0
subscription charges 37998.00,Entertainment,37998.0
plumber Transfer 24988 actually INR 9958 cred,Housing,9958.0
